ID,brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,latest_price,old_price,discount,star_rating,ratings,reviews
457,Lenovo,ThinkPad,Intel,Core i5,10th,16,DDR4,512,0,Windows,64,0,ThinNlight,13.3,3,No,No,147000,0,0,0,0,0
458,ASUS,TUF,Intel,Core i5,11th,16,DDR4,1024,0,Windows,64,4,Casual,15.6,1,No,No,87990,126990,30,0,0,0
459,HP,Core,Intel,Core i3,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,15.6,1,No,Yes,47990,51165,6,4.3,1605,215
460,acer,Swift,Intel,Core i5,7th,8,DDR3,256,0,Windows,64,0,ThinNlight,13.3,1,No,Yes,86867,99999,13,4.4,39,3
462,Lenovo,Ideapad,Intel,Core i3,10th,4,DDR4,256,0,Windows,64,0,Casual,15.6,1,No,Yes,40200,49999,19,3.9,48,1
463,Lenovo,Ideapad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,ThinNlight,14,1,No,Yes,55990,65438,14,4.2,75,9
464,HP,Pavilion,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,4,Gaming,15.6,1,No,Yes,77990,93565,16,0,0,0
465,MSI,Prestige,Intel,Core i7,11th,16,LPDDR4X,512,0,Windows,64,0,Casual,14,1,No,No,89990,99240,9,0,0,0
466,MSI,Stealth,Intel,Core i7,12th,32,DDR5,1024,0,Windows,64,8,Casual,15.6,0,No,No,279990,313990,10,0,0,0
467,HP,Envy,Intel,Core i5,10th,16,DDR4,512,0,Windows,64,4,Casual,15.6,1,No,Yes,106490,138366,23,4.7,3,0
468,Lenovo,IdeaPad,Intel,Core i5,11th,16,DDR4,512,0,Windows,32,2,Casual,14,1,No,Yes,70990,113290,37,4.6,11,3
469,ASUS,ROG,Intel,Core i9,12th,32,DDR5,1024,0,Windows,64,6,Casual,15.6,0,No,No,299990,376990,20,0,0,0
472,MICROSOFT,Surface,Intel,Core i5,10th,8,LPDDR4X,128,0,Windows,64,0,Casual,13,0,Yes,No,100190,104999,4,4.4,56,8
474,Lenovo,ThinkPad,Intel,Core i5,10th,16,DDR4,512,512,Windows,64,0,ThinNlight,14,3,Yes,No,155411,0,0,0,0,0
475,HP,Spectre,Intel,Core i7,10th,16,LPDDR3,512,0,Windows,64,0,Casual,13.3,1,Yes,Yes,239759,0,0,0,0,0
476,Lenovo,ThinkPad,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,Yes,64990,77487,16,4.4,125,11
478,Lenovo,Core,Intel,Core i3,10th,8,DDR4,256,0,Windows,32,0,Casual,14,0,No,No,40990,56800,27,3.7,3,0
479,DELL,Inspiron,Intel,Core i3,10th,8,DDR4,256,0,Windows,64,0,ThinNlight,14.96,1,No,No,42490,54723,22,0,0,0
483,acer,Aspire,Intel,Core i5,11th,8,DDR4,512,0,Windows,64,0,Casual,15.6,1,No,No,57990,65000,10,0,0,0
485,LG,Gram,Intel,Core i5,10th,8,DDR4,256,0,Windows,64,0,Casual,15.6,0,No,No,76990,104000,25,4.5,15,7
486,DELL,Core,Intel,Core i3,11th,8,DDR4,0,1024,Windows,32,0,Casual,15.6,0,No,No,43970,46138,4,3.9,16,0
487,HP,OMEN,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,4,Casual,16.1,0,No,No,121990,138399,11,0,0,0
489,HP,OMEN,Intel,Core i7,11th,16,DDR4,1024,0,Windows,64,4,Casual,16.1,0,No,No,116990,132717,11,0,0,0
